,time,T,CA0,CA,CB,CC
0,0.0,350,0.5,0.49829795861385595,0.006326199420033172,0.0
1,0.125,350,0.5,0.2615606561304616,0.25112280713004415,0.11900217426253931
2,0.25,350,0.5,0.32596549882145276,0.30497420154835553,0.2676577527684414
3,0.375,350,0.5,0.040518859294720704,0.1984896871206427,0.0
4,0.5,350,0.5,0.0,0.1907567428834593,0.3080631133249637
5,0.625,350,0.5,0.0,0.027773753226597392,0.38855894782566813
6,0.75,350,0.5,0.0,0.08239406429852658,0.3005260909226777
7,0.875,350,0.5,0.04993916923422932,0.04629757982414501,0.35789806928442036
8,1.0,350,0.5,0.0,0.11781255125381557,0.4097032877186616
