Epoch 	Iter. 	loss_func(x) 		||grad(x)|| 	||p||

1 	 0 	 4.2544e+00 	3.0913e+00 	1.5457e+00
1 	 1 	 4.2544e+00 	4.9534e+00 	2.4767e+00
1 	 2 	 5.8958e+00 	8.1846e+00 	4.0923e+00
1 	 3 	 1.0466e+01 	1.8601e+00 	9.3005e-01
1 	 4 	 4.2012e+00 	1.3379e+01 	6.6896e+00
1 	 5 	 1.5415e+01 	9.5254e+00 	4.7627e+00
1 	 6 	 4.4626e+01 	4.1372e+00 	2.0686e+00
1 	 7 	 5.1246e+00 	1.3949e+01 	6.9744e+00
1 	 8 	 1.6834e+01 	1.1398e+01 	5.6992e+00
1 	 9 	 5.4230e+01 	3.2309e+00 	1.6155e+00
1 	 10 	 3.3191e+00 	8.8285e+00 	4.4142e+00
1 	 11 	 1.0063e+01 	8.0099e+00 	4.0050e+00
1 	 12 	 1.8431e+01 	5.2977e+00 	2.6488e+00
1 	 13 	 5.9064e+00 	7.0159e+00 	3.5080e+00
1 	 14 	 9.6301e+00 	8.1830e+00 	4.0915e+00
1 	 15 	 1.1362e+01 	7.7124e+00 	3.8562e+00
1 	 16 	 1.4821e+01 	8.2493e+00 	4.1246e+00
1 	 17 	 1.0871e+01 	7.8282e+00 	3.9141e+00
1 	 18 	 1.4307e+01 	5.3425e+00 	2.6713e+00
1 	 19 	 6.1608e+00 	7.9610e+00 	3.9805e+00
2 	 20 	 8.7113e+00 	1.0984e+01 	5.4919e+00
2 	 21 	 2.2047e+01 	1.1896e+01 	5.9478e+00
2 	 22 	 2.6363e+01 	1.3145e+01 	6.5723e+00
2 	 23 	 3.2351e+01 	9.9935e+00 	4.9967e+00
2 	 24 	 2.8826e+01 	5.9041e+00 	2.9520e+00
2 	 25 	 7.2648e+00 	1.0106e+01 	5.0529e+00
2 	 26 	 1.2372e+01 	1.5159e+01 	7.5795e+00
2 	 27 	 4.5423e+01 	1.5971e+01 	7.9857e+00
2 	 28 	 5.4957e+01 	5.6789e+00 	2.8395e+00
2 	 29 	 1.8878e+01 	3.8963e+00 	1.9482e+00
2 	 30 	 5.0755e+00 	5.6982e-01 	2.8491e-01
2 	 31 	 2.2463e+00 	3.5921e+00 	1.7960e+00
2 	 32 	 3.9378e+00 	6.8181e+00 	3.4090e+00
2 	 33 	 7.2170e+00 	7.3915e+00 	3.6958e+00
2 	 34 	 1.0748e+01 	8.1357e+00 	4.0679e+00
2 	 35 	 1.1095e+01 	9.6807e+00 	4.8403e+00
2 	 36 	 1.7736e+01 	9.0227e+00 	4.5113e+00
2 	 37 	 1.6164e+01 	7.4558e+00 	3.7279e+00
2 	 38 	 1.2440e+01 	5.9208e+00 	2.9604e+00
2 	 39 	 7.0606e+00 	5.9728e+00 	2.9864e+00
3 	 40 	 7.0825e+00 	6.2885e+00 	3.1442e+00
3 	 41 	 8.2456e+00 	1.0220e+01 	5.1102e+00
3 	 42 	 1.3339e+01 	3.8265e+00 	1.9133e+00
3 	 43 	 1.2107e+01 	1.4673e+01 	7.3367e+00
3 	 44 	 1.8608e+01 	1.0086e+01 	5.0432e+00
