[1;30;43mStreaming output truncated to the last 5000 lines.[0m
2  	 2.1033e+02 	1.6587e+02 	3.3174e+00
3  	 1.6223e+02 	1.8042e+02 	3.6084e+00
4  	 2.8752e+02 	1.0511e+02 	2.1023e+00
5  	 8.0474e+01 	7.2698e+01 	1.4540e+00
6  	 7.4219e+01 	2.5122e+01 	5.0244e-01
7  	 2.7698e+01 	1.8083e+01 	3.6165e-01
8  	 1.5609e+01 	1.4789e+01 	2.9577e-01
9  	 1.0029e+01 	2.1300e+01 	4.2599e-01
10  	 6.9755e+00 	2.2671e+01 	4.5341e-01
11  	 9.1030e+00 	1.7165e+01 	3.4331e-01
12  	 4.3435e+00 	1.6010e+01 	3.2020e-01
13  	 2.6417e+00 	1.1387e+01 	2.2774e-01
14  	 2.0097e+00 	6.0603e+00 	1.2121e-01
15  	 1.4271e+00 	2.7367e+00 	5.4733e-02
16  	 6.2150e-01 	4.2816e+00 	8.5631e-02
17  	 1.1363e+00 	4.0342e+00 	8.0684e-02
18  	 5.3517e-01 	3.2163e+00 	6.4326e-02
19  	 5.4118e-01 	2.1502e+00 	4.3003e-02
20  	 3.4782e-01 	6.5243e+00 	1.3049e-01
21  	 4.2888e-01 	5.8429e+00 	1.1686e-01
22  	 4.0958e-01 	2.9281e+00 	5.8561e-02
23  	 2.1576e-01 	2.4659e+00 	4.9317e-02
24  	 1.8109e-01 	3.7981e+00 	7.5961e-02
25  	 1.9146e-01 	3.5326e+00 	7.0651e-02
26  	 3.6431e-01 	1.0407e+00 	2.0815e-02
27  	 1.7336e-01 	4.8124e-01 	9.6249e-03
28  	 6.9337e-02 	1.0829e+00 	2.1658e-02
29  	 1.2414e-01 	1.4139e+00 	2.8279e-02
30  	 1.5395e-01 	2.6362e+00 	5.2724e-02
31  	 1.0377e-01 	2.1302e+00 	4.2604e-02
32  	 2.1352e-01 	1.3298e+00 	2.6596e-02
33  	 1.2371e-01 	8.8271e-01 	1.7654e-02
34  	 1.2002e-01 	2.4415e+00 	4.8831e-02
35  	 1.5953e-01 	5.1117e-01 	1.0223e-02
36  	 9.3977e-02 	1.9327e+00 	3.8654e-02
37  	 9.8289e-02 	2.4375e-01 	4.8750e-03
38  	 8.2482e-02 	2.4543e+00 	4.9085e-02
39  	 1.2996e-01 	5.0727e+00 	1.0145e-01
40  	 3.1214e-01 	4.5168e+00 	9.0336e-02
41  	 2.1840e-01 	4.3778e+00 	8.7557e-02
42  	 2.6370e-01 	2.4807e+00 	4.9615e-02
43  	 9.6897e-02 	1.0302e+00 	2.0604e-02
44  	 1.0431e-01 	4.9577e-01 	9.9155e-03
45  	 5.5341e-02 	1.6052e+00 	3.2103e-02
46  	 1.0369e-01 	7.8438e-01 	1.5688e-02
47  	 4.6456e-02 	4.2722e-01 	8.5445e-03
48  	 6.3591e-02 	1.5294e+00 	3.0589e-02
49  	 1.2963e-01 	1.8583e+00 	3.7165e-02
50  	 1.0192e-01 	2.4559e+00 	4.9118e-02
51  	 1.2472e-01 	2.7555e+00 	5.5111e-02
52  	 7.8130e-02 	1.0627e+00 	2.1254e-02
53  	 9.7517e-02 	1.1698e+00 	2.3396e-02
