[1;30;43mStreaming output truncated to the last 5000 lines.[0m
1 	 3 	 4.6114e+02 	1.5240e+02 	3.0481e+00
1 	 4 	 2.2259e+02 	3.9000e+01 	7.7999e-01
1 	 5 	 4.3656e+01 	4.5744e+01 	9.1488e-01
1 	 6 	 3.1181e+01 	6.1447e+01 	1.2289e+00
1 	 7 	 2.8195e+01 	4.1586e+01 	8.3171e-01
1 	 8 	 2.6659e+01 	1.7235e+01 	3.4469e-01
1 	 9 	 9.6852e+00 	2.6097e+01 	5.2194e-01
1 	 10 	 6.0034e+00 	3.2111e+01 	6.4222e-01
1 	 11 	 1.0159e+01 	2.0496e+01 	4.0992e-01
1 	 12 	 4.5199e+00 	1.6616e+01 	3.3231e-01
1 	 13 	 4.9112e+00 	4.8967e+00 	9.7933e-02
1 	 14 	 1.5417e+00 	7.6161e+00 	1.5232e-01
1 	 15 	 1.5394e+00 	6.0529e+00 	1.2106e-01
1 	 16 	 1.1953e+00 	4.2383e+00 	8.4765e-02
1 	 17 	 6.2241e-01 	6.1444e+00 	1.2289e-01
1 	 18 	 1.0370e+00 	3.3054e+00 	6.6107e-02
1 	 19 	 8.4851e-01 	3.6384e+00 	7.2767e-02
1 	 20 	 5.3458e-01 	1.7660e+00 	3.5320e-02
1 	 21 	 3.2346e-01 	3.7859e+00 	7.5717e-02
1 	 22 	 3.9395e-01 	3.7365e+00 	7.4729e-02
1 	 23 	 2.6784e-01 	2.7614e+00 	5.5229e-02
1 	 24 	 2.7422e-01 	3.2962e+00 	6.5923e-02
1 	 25 	 2.7519e-01 	2.8167e+00 	5.6335e-02
1 	 26 	 1.0193e-01 	4.1940e+00 	8.3879e-02
1 	 27 	 2.2049e-01 	3.8686e+00 	7.7372e-02
1 	 28 	 1.7984e-01 	3.4809e+00 	6.9618e-02
1 	 29 	 1.5911e-01 	6.6778e+00 	1.3356e-01
1 	 30 	 2.3617e-01 	5.4976e+00 	1.0995e-01
1 	 31 	 2.7654e-01 	2.1902e+00 	4.3805e-02
1 	 32 	 2.3598e-01 	9.0857e-01 	1.8171e-02
1 	 33 	 6.4149e-02 	2.4301e-01 	4.8603e-03
1 	 34 	 6.1890e-02 	1.3601e+00 	2.7202e-02
1 	 35 	 2.8874e-01 	1.9329e+00 	3.8657e-02
1 	 36 	 1.4942e-01 	2.9263e+00 	5.8527e-02
1 	 37 	 1.4558e-01 	2.4420e+00 	4.8840e-02
1 	 38 	 1.4650e-01 	6.7169e-01 	1.3434e-02
1 	 39 	 1.9753e-01 	1.6259e+00 	3.2518e-02
1 	 40 	 7.2465e-02 	2.4805e+00 	4.9609e-02
1 	 41 	 1.2877e-01 	1.9241e+00 	3.8481e-02
1 	 42 	 2.0426e-01 	7.4346e-01 	1.4869e-02
1 	 43 	 1.3957e-01 	1.1259e+00 	2.2517e-02
1 	 44 	 6.1052e-02 	6.6486e-01 	1.3297e-02
1 	 45 	 9.0606e-02 	2.6460e+00 	5.2920e-02
1 	 46 	 1.9197e-01 	2.6226e+00 	5.2452e-02
1 	 47 	 1.7305e-01 	2.5043e+00 	5.0087e-02
1 	 48 	 1.0870e-01 	2.8434e+00 	5.6867e-02
1 	 49 	 1.7073e-01 	7.5675e-01 	1.5135e-02
1 	 50 	 1.7247e-01 	7.3567e-01 	1.4713e-02
1 	 51 	 6.8165e-02 	3.5567e-01 	7.1134e-03
1 	 52 	 1.1665e-01 	5.9292e-01 	1.1858e-02
1 	 53 	 1.5504e-01 	2.2441e+00 	4.4882e-02
1 	 54 	 1.2262e-01 	1.2869e+00 	2.5738e-02
1 	 55 	 1.1341e-01 	7.6246e-01 	1.5249e-02
1 	 56 	 4.2122e-02 	1.3184e+00 	2.6367e-02
1 	 57 	 1.0321e-01 	2.8157e+00 	5.6315e-02
1 	 58 	 1.2215e-01 	4.7147e+00 	9.4293e-02
1 	 59 	 2.6058e-01 	3.9662e+00 	7.9323e-02
1 	 60 	 1.6232e-01 	2.4631e+00 	4.9263e-02
1 	 61 	 1.1258e-01 	1.1946e+00 	2.3891e-02
1 	 62 	 1.5151e-01 	2.2809e+00 	4.5618e-02
1 	 63 	 1.8218e-01 	1.7319e+00 	3.4638e-02
1 	 64 	 1.1900e-01 	2.0510e+00 	4.1020e-02
1 	 65 	 7.7178e-02 	9.5843e-01 	1.9169e-02
1 	 66 	 1.0137e-01 	2.0667e-01 	4.1333e-03
1 	 67 	 1.8910e-01 	1.1378e+00 	2.2757e-02
1 	 68 	 4.6705e-02 	2.9926e-01 	5.9852e-03
1 	 69 	 4.3720e-02 	1.1269e+00 	2.2537e-02
1 	 70 	 7.0765e-02 	1.6629e+00 	3.3257e-02
1 	 71 	 1.1363e-01 	8.9087e-01 	1.7817e-02
1 	 72 	 7.8556e-02 	1.7740e+00 	3.5480e-02
1 	 73 	 8.2221e-02 	6.8763e+00 	1.3753e-01
1 	 74 	 2.5133e-01 	4.8541e+00 	9.7083e-02
1 	 75 	 3.5250e-01 	1.8821e+00 	3.7642e-02
